Penetrance,CaseCars,ControlCars,TotControls,TotCases,Scenario
0.05,178,3385,7332530,74209,1
0.05,910,17294,7238638,73852,1
0.05,767,14580,8055911,81992,1
0.05,0,0,7169991,72424,1
0.05,678,12894,7327201,74559,1
0.05,616,11718,6756168,68741,1
0.05,0,0,7752640,78309,1
0.05,1438,27341,7364411,75549,1
0.05,383,7290,8025107,81371,1
0.05,0,0,6076002,61373,1
0.05,188,3575,7727953,78212,1
0.05,0,0,6276923,63403,1
0.05,479,9101,6636759,67425,1
0.05,0,0,6861385,69306,1
0.05,0,0,7884582,79642,1
0.05,75,1442,7013414,70902,1
0.05,0,0,7898995,79787,1
0.05,0,0,7096955,71686,1
0.05,0,0,6349551,64136,1
0.05,46,892,6836025,69087,1
0.05,0,0,6612424,66792,1
0.05,519,9868,6099553,62030,1
0.05,1234,23463,6312640,64761,1
0.05,0,0,6722459,67903,1
0.05,58,1110,7133295,72100,1
0.05,605,11514,6750463,68675,1
0.05,71,1365,7062571,71396,1
0.05,0,0,7609377,76862,1
0.05,0,0,6974787,70452,1
0.05,37,704,7365039,74424,1
0.05,47,911,7018949,70936,1
0.05,28,539,6890181,69620,1
0.05,0,0,7033252,71042,1
0.05,219,4179,7342535,74343,1
0.05,0,0,7236615,73097,1
0.05,0,0,6689347,67569,1
0.05,0,0,6855075,69243,1
0.05,0,0,7302631,73763,1
0.05,82,1573,7009035,70864,1
0.05,0,0,7439900,75150,1
0.05,1201,22828,6256088,64163,1
0.05,21,402,7077065,71502,1
0.05,0,0,7215347,72882,1
0.05,1146,21787,6326046,64825,1
0.05,0,0,6490319,65558,1
0.05,530,10087,7242398,73583,1
0.05,0,0,7480090,75556,1
0.05,1716,32608,7411016,76245,1
0.05,0,0,7212282,72851,1
0.05,0,0,8214828,82978,1
0.05,0,0,6584099,66506,1
0.05,266,5056,6318774,64040,1
0.05,941,17887,7335239,74853,1
0.05,0,0,7080217,71517,1
0.05,472,8979,7327600,74397,1
0.05,0,0,6607711,66744,1
0.05,771,14662,6871344,70030,1
0.05,0,0,8159970,82423,1
0.05,0,0,7311207,73850,1
0.05,0,0,6481986,65474,1
